Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season,MVP,Ring
775,1/27/98,West,Away,VAN,33,20,7,15,6,6,10,Y,Y
776,1/29/98,West,Away,POR,39,29,11,24,7,7,10,Y,Y
777,1/30/98,West,Away,GSW,41,14,2,17,10,11,10,Y,Y
778,2/1/98,West,Away,LAL,37,31,11,26,9,12,10,Y,Y
779,2/2/98,West,Away,DEN,33,15,6,12,3,4,10,Y,Y
780,2/4/98,West,Away,UTA,43,40,17,37,5,6,10,Y,Y
781,2/10/98,East,Home,TOR,34,18,8,21,2,5,10,Y,Y
782,2/11/98,East,Away,CHH,41,29,11,22,7,9,10,Y,Y
783,2/13/98,East,Home,ATL,36,37,14,22,9,12,10,Y,Y
784,2/15/98,East,Home,DET,41,21,7,17,7,8,10,Y,Y
785,2/17/98,East,Home,IND,40,27,13,23,1,3,10,Y,Y
786,2/19/98,East,Away,TOR,28,16,5,9,5,6,10,Y,Y
787,2/21/98,East,Away,WSB,42,19,8,23,3,5,10,Y,Y
788,2/23/98,East,Home,CLE,29,17,7,14,3,4,10,Y,Y
789,2/25/98,West,Home,POR,43,33,9,26,15,17,10,Y,Y
790,2/28/98,West,Home,SAC,39,28,10,17,8,9,10,Y,Y
791,3/3/98,West,Home,DEN,40,30,12,19,6,6,10,Y,Y
792,3/8/98,East,Away,NYK,44,42,17,33,7,9,10,Y,Y
793,3/10/98,East,Home,MIA,39,37,17,30,2,2,10,Y,Y
794,3/12/98,West,Away,DAL,47,26,10,24,5,11,10,Y,Y
795,3/14/98,West,Away,SAS,42,30,12,22,6,7,10,Y,Y
796,3/16/98,East,Home,NJN,33,17,6,15,5,8,10,Y,Y
797,3/17/98,East,Away,IND,42,35,14,28,6,9,10,Y,Y
798,3/20/98,West,Home,VAN,39,24,8,13,7,10,10,Y,Y
799,3/22/98,East,Away,TOR,41,33,13,28,7,7,10,Y,Y
800,3/23/98,East,Home,BOS,36,24,11,22,2,2,10,Y,Y
801,3/25/98,East,Away,ORL,38,17,8,21,0,1,10,Y,Y
802,3/27/98,East,Away,ATL,43,34,13,26,8,12,10,Y,Y
803,3/29/98,East,Away,MIL,35,30,13,24,4,5,10,Y,Y
804,3/31/98,East,Home,DET,47,26,11,26,4,4,10,Y,Y
805,4/3/98,West,Home,MIN,38,41,16,25,7,8,10,Y,Y
806,4/5/98,West,Away,HOU,37,40,18,31,4,4,10,Y,Y
807,4/7/98,East,Home,WSB,33,30,11,21,7,8,10,Y,Y
808,4/9/98,East,Away,CLE,37,29,10,24,9,12,10,Y,Y
809,4/11/98,East,Home,ORL,35,37,15,25,4,10,10,Y,Y
810,4/13/98,East,Home,IND,41,27,7,19,12,14,10,Y,Y
811,4/15/98,East,Away,DET,43,19,7,25,5,10,10,Y,Y
812,4/17/98,East,Away,PHI,39,24,9,19,6,8,10,Y,Y
813,4/18/98,East,Home,NYK,40,44,11,24,22,24,10,Y,Y
